Ground_Truth,airplane,apple,backpack,banana,baseball bat,baseball glove,bear,bed,bench,bicycle,bird,boat,book,bottle,bowl,broccoli,bus,cake,car,carrot,cat,cell phone,chair,clock,couch,cow,cup,dining table,dog,donut,elephant,fire hydrant,fork,frisbee,giraffe,hair drier,handbag,horse,hot dog,keyboard,kite,knife,laptop,microwave,motorcycle,mouse,orange,oven,parking meter,person,pizza,potted plant,refrigerator,remote,sandwich,scissors,sheep,sink,skateboard,skis,snowboard,spoon,sports ball,stop sign,suitcase,surfboard,teddy bear,tennis racket,tie,toaster,toilet,toothbrush,traffic light,train,truck,tv,umbrella,vase,wine glass,zebra,other
bird,33,3,8,8,0,5,24,0,1,0,258,21,0,9,4,1,0,0,0,0,37,1,21,0,0,40,0,1,57,0,16,0,2,0,17,0,6,17,1,0,63,0,0,0,0,0,0,0,1,42,0,9,0,0,0,1,61,0,2,3,1,2,4,0,0,15,11,0,1,0,0,0,0,0,0,0,10,11,1,13,0
boat,52,1,1,3,0,0,0,6,26,5,9,336,5,0,11,0,21,4,58,0,0,4,13,1,1,1,0,6,1,0,0,3,0,2,0,0,0,1,1,0,14,0,2,0,3,1,0,1,1,13,0,2,0,0,0,0,1,3,2,2,2,0,1,0,11,34,0,1,0,1,4,0,1,30,60,2,24,3,0,0,0
book,0,1,5,1,3,1,0,11,18,0,0,3,655,50,15,0,0,9,6,0,1,38,41,12,8,0,18,33,2,0,0,0,0,5,0,0,25,0,0,28,0,17,75,5,1,2,0,5,1,15,0,3,8,37,1,2,0,5,2,3,0,2,0,2,33,5,1,2,10,0,1,5,1,1,1,20,3,5,0,0,0
bottle,0,1,5,11,2,2,0,1,1,1,12,4,40,755,43,0,5,10,6,1,1,32,22,9,3,0,327,10,2,1,0,23,10,6,1,14,16,0,2,0,1,40,1,2,3,8,0,1,1,86,0,19,10,21,1,3,0,3,8,0,1,29,4,0,8,0,3,3,3,1,1,28,4,1,2,0,3,336,82,0,0
bowl,1,53,5,21,0,2,1,7,4,2,6,23,32,38,535,27,1,190,7,27,1,9,76,16,3,1,329,131,1,44,0,0,18,17,0,3,10,0,19,2,2,22,12,2,2,16,39,33,1,24,84,74,0,17,81,1,1,97,3,0,1,102,11,1,4,4,0,1,0,0,27,0,1,1,2,0,6,82,85,0,0
broccoli,0,0,0,2,0,0,0,0,0,0,2,0,0,1,20,238,0,3,0,17,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,7,11,0,0,6,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
bus,55,0,3,1,0,0,15,0,9,2,0,36,3,7,0,0,255,0,225,0,0,16,3,11,0,0,2,8,1,0,12,3,0,0,7,0,0,6,6,0,10,0,2,5,14,1,0,29,32,16,6,0,13,0,1,0,0,0,4,0,0,0,0,3,24,5,0,0,0,4,0,0,3,221,280,27,15,0,0,7,0
cake,0,13,2,17,0,2,2,6,4,0,2,5,18,30,135,1,1,248,3,2,1,3,17,1,4,3,70,58,3,109,1,6,19,0,0,0,13,3,34,0,0,11,3,5,0,4,3,7,0,12,51,18,4,2,128,0,1,5,0,0,0,10,3,1,11,1,15,0,0,7,11,0,0,1,3,1,5,25,3,0,0
car,58,0,21,0,0,0,4,12,75,25,7,104,3,8,7,0,515,2,1508,0,2,20,58,6,9,19,0,16,2,0,0,3,0,0,3,0,16,3,0,0,7,0,11,1,377,3,0,13,69,253,0,2,0,0,0,0,12,4,1,0,2,1,1,1,55,4,0,0,0,0,2,0,5,47,1362,13,10,0,2,7,0
carrot,0,9,0,17,2,0,0,0,0,0,0,1,0,2,19,30,0,6,0,244,1,0,4,1,0,0,5,16,0,15,0,0,7,0,0,0,2,0,56,1,0,7,0,0,0,0,43,1,0,5,3,1,0,1,16,2,0,0,0,0,0,12,0,0,0,0,4,0,1,0,0,6,0,0,0,0,2,0,0,0,0
cat,2,0,54,6,0,0,51,73,58,23,69,2,15,3,14,0,0,5,7,0,191,1,93,1,84,28,5,38,164,1,3,0,0,1,14,2,53,16,0,18,0,0,79,10,24,2,0,12,0,120,8,7,24,2,1,0,36,16,0,0,0,0,0,0,52,2,65,0,1,1,50,0,0,0,2,42,1,11,1,19,0
cell phone,0,0,4,1,1,1,0,4,1,1,0,1,55,23,3,0,3,3,4,0,1,174,16,29,0,0,15,7,0,1,0,0,10,1,0,5,12,0,0,24,0,33,54,4,1,23,0,5,8,17,1,0,2,123,2,19,0,0,3,2,3,12,1,0,8,2,0,3,6,1,5,15,4,1,2,8,1,1,3,0,0
chair,9,0,95,2,6,0,0,67,635,46,4,22,43,13,57,0,1,4,65,0,6,6,1314,3,382,3,48,575,10,0,4,2,7,6,3,3,141,18,1,0,10,9,40,8,37,4,0,28,3,243,0,15,17,2,1,5,6,26,4,5,6,12,1,0,130,18,13,13,1,2,53,0,2,1,19,40,37,33,4,2,0
clock,0,4,0,2,1,0,4,1,0,27,10,6,14,11,11,0,3,7,8,0,2,9,1,220,1,2,9,2,2,10,1,1,0,20,1,3,0,1,0,1,13,0,2,4,4,6,1,3,2,10,0,2,4,4,0,1,0,3,2,1,1,3,2,18,1,5,4,8,5,2,1,0,17,4,2,14,3,6,2,0,0
couch,1,0,14,0,0,0,0,152,63,1,0,3,8,0,8,0,0,0,13,0,2,1,259,0,222,0,3,85,8,0,4,1,0,0,0,0,29,2,0,0,1,0,13,0,6,0,0,4,0,49,1,3,2,1,0,0,0,14,0,0,0,0,0,0,60,0,12,0,0,0,20,0,0,1,5,11,4,3,0,0,0
cow,0,0,6,0,1,3,50,2,24,3,62,0,1,0,0,0,1,1,16,0,21,0,9,0,9,324,0,1,172,0,140,0,0,0,42,0,4,269,0,0,0,0,1,0,3,0,0,0,0,56,0,0,0,0,0,0,292,0,0,0,0,0,0,0,2,0,8,0,0,0,1,0,0,0,15,1,2,0,0,53,0
cup,0,2,4,3,0,1,0,0,0,1,2,0,29,435,438,0,0,65,5,0,6,18,83,19,5,0,683,28,2,5,1,5,4,0,0,4,15,0,1,1,1,12,17,3,1,7,3,7,3,23,2,55,7,21,4,8,0,18,1,0,0,65,2,0,6,0,3,2,0,3,39,6,4,0,1,2,2,124,390,0,0
dining table,4,2,0,3,0,0,0,60,133,3,0,22,38,2,101,0,0,43,8,1,0,1,182,0,63,1,5,544,1,3,0,0,0,5,2,0,6,1,5,1,3,2,7,4,1,0,0,81,0,46,26,4,5,0,12,0,1,27,1,0,0,3,1,0,10,8,0,0,0,0,3,0,0,2,5,3,11,6,2,1,0
dog,4,1,7,2,0,6,106,48,51,9,78,22,3,4,3,0,2,3,31,0,155,0,76,0,67,119,1,23,201,3,33,9,0,0,26,0,10,85,0,0,4,1,3,0,11,0,1,5,2,153,1,3,0,1,2,0,133,1,6,0,0,0,1,0,20,3,90,0,1,0,3,0,2,3,4,4,1,2,1,20,0
donut,0,54,0,52,0,3,1,2,0,0,0,0,0,1,39,0,1,180,1,24,6,2,7,2,0,2,10,13,6,247,3,0,1,3,0,1,0,2,86,0,0,0,0,0,0,4,55,6,0,8,23,0,1,6,63,0,0,0,0,0,0,2,9,2,1,0,16,0,0,0,2,0,0,0,1,0,2,5,0,0,0
elephant,1,0,5,0,0,2,44,5,8,0,18,4,1,1,0,0,1,1,2,0,2,0,14,1,7,113,1,0,41,1,244,1,0,0,20,0,5,71,0,0,4,0,1,0,3,0,0,0,1,88,0,2,0,0,1,0,100,0,1,0,1,0,0,1,4,3,14,0,0,0,1,0,0,0,6,1,1,1,0,51,0
fire hydrant,1,0,0,1,0,1,23,0,23,3,1,3,0,57,0,0,0,7,17,1,1,0,3,1,0,3,20,0,31,0,23,92,0,0,3,0,1,2,1,0,0,0,0,0,7,0,0,0,26,69,0,46,0,0,0,0,1,0,5,0,1,0,0,2,2,0,36,0,0,0,0,0,1,35,6,0,1,33,0,1,0
fork,2,1,0,0,2,0,0,0,2,0,17,0,6,4,48,7,0,28,0,9,0,6,7,0,0,0,12,19,0,2,0,0,156,0,0,1,0,0,1,0,1,159,2,0,0,3,0,0,0,1,5,0,0,3,5,39,0,6,0,5,0,162,0,0,2,1,0,1,3,1,1,29,0,0,0,0,3,1,13,0,0
frisbee,1,8,1,5,21,14,1,0,1,3,5,3,9,25,61,0,0,9,2,6,0,2,6,22,0,0,36,1,0,13,0,1,1,104,0,2,9,0,1,0,26,2,1,0,0,0,6,0,0,17,3,5,0,4,0,2,7,8,3,0,12,11,67,2,1,5,0,61,0,0,3,3,5,0,0,0,15,3,2,0,0
giraffe,8,0,0,0,1,0,36,1,6,11,90,5,0,6,0,0,9,1,32,0,48,0,45,1,0,77,0,0,70,2,48,13,0,0,222,0,0,89,3,0,40,0,0,0,1,0,1,1,0,128,10,3,0,0,3,0,60,0,0,6,0,0,0,5,0,2,3,1,12,0,6,0,0,0,38,0,10,23,0,136,0
hair drier,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
handbag,0,0,303,0,3,27,0,2,10,12,2,7,10,9,0,0,1,2,12,0,4,4,58,0,10,2,8,5,9,0,0,1,1,1,0,0,329,4,0,0,10,3,4,0,15,1,0,0,2,88,0,2,1,2,0,2,0,1,17,2,4,1,0,0,94,7,2,20,28,0,2,0,2,0,1,1,32,4,0,0,0
horse,1,0,11,0,0,3,11,0,16,14,47,7,0,1,0,0,2,1,14,0,15,0,16,0,3,214,0,2,109,1,88,0,0,0,38,0,4,248,0,0,13,1,0,0,17,0,0,1,0,131,0,1,0,0,1,0,124,0,0,1,0,0,0,0,3,7,1,0,0,0,0,0,0,3,44,0,1,2,0,115,0
hot dog,0,20,0,18,0,0,0,3,1,0,0,2,4,1,34,1,0,49,0,38,1,0,4,0,0,0,3,18,0,41,0,0,4,1,0,0,3,0,90,0,0,11,0,0,0,0,11,3,0,15,37,0,0,1,77,0,0,0,0,0,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keyboard,0,0,1,0,0,0,0,3,6,0,0,2,48,0,1,0,0,4,4,0,2,38,4,0,8,0,0,9,0,0,0,0,0,0,1,0,4,0,0,134,0,0,78,2,0,11,0,9,0,1,0,0,0,64,0,0,0,2,0,0,0,0,0,0,3,0,0,1,3,0,1,0,0,1,2,5,0,0,0,0,0
