Ground_Truth,airplane,apple,backpack,banana,baseball bat,baseball glove,bear,bed,bench,bicycle,bird,boat,book,bottle,bowl,broccoli,bus,cake,car,carrot,cat,cell phone,chair,clock,couch,cow,cup,dining table,dog,donut,elephant,fire hydrant,fork,frisbee,giraffe,hair drier,handbag,horse,hot dog,keyboard,kite,knife,laptop,microwave,motorcycle,mouse,orange,oven,parking meter,person,pizza,potted plant,refrigerator,remote,sandwich,scissors,sheep,sink,skateboard,skis,snowboard,spoon,sports ball,stop sign,suitcase,surfboard,teddy bear,tennis racket,tie,toaster,toilet,toothbrush,traffic light,train,truck,tv,umbrella,vase,wine glass,zebra,other
broccoli,0,0,0,2,0,0,0,0,0,0,2,0,0,1,20,238,0,1,0,8,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,4,11,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
bus,7,0,4,1,0,0,14,18,18,1,0,30,3,7,0,0,253,10,98,0,0,16,3,12,8,4,2,8,5,0,14,3,0,0,6,0,0,6,6,4,10,0,2,12,2,1,0,27,32,33,6,1,23,0,1,0,0,0,7,0,0,0,0,17,24,15,0,0,0,4,0,0,3,112,198,28,24,0,0,6,0
cake,0,11,1,8,0,2,2,4,6,0,4,6,18,31,135,1,1,250,3,2,1,4,16,1,5,3,63,59,3,70,1,6,18,0,0,0,13,3,12,0,0,9,3,5,0,3,2,7,1,16,27,18,5,1,83,0,1,4,0,0,0,7,3,1,11,1,15,0,2,7,11,1,0,4,2,2,5,25,3,0,0
car,19,0,25,0,0,0,3,15,74,17,7,35,3,8,7,0,96,2,1510,0,2,21,60,6,9,23,0,14,8,0,16,3,0,0,3,0,17,3,0,0,7,0,10,1,71,3,0,13,67,255,0,3,2,1,0,0,12,9,9,0,2,1,1,3,55,5,1,0,0,0,2,0,5,10,959,14,41,0,2,6,0
carrot,0,9,0,5,3,0,0,0,2,0,0,1,0,2,19,16,0,4,0,245,1,0,3,1,1,0,1,16,0,6,0,0,6,0,0,0,2,0,28,1,1,6,0,0,0,0,43,1,0,12,4,1,0,1,3,3,0,0,0,1,0,11,0,0,0,0,4,1,1,0,0,6,0,0,0,0,2,0,0,0,0
cat,2,0,70,6,0,0,13,72,63,25,12,5,15,3,16,0,0,7,33,1,190,0,97,1,78,9,3,29,89,1,2,0,0,1,0,3,55,2,0,15,0,0,78,11,23,2,0,12,0,127,9,62,28,0,1,0,6,63,1,0,1,0,0,0,54,2,70,0,1,2,40,0,0,0,4,42,11,11,0,1,0
cell phone,0,0,5,1,1,1,0,4,3,1,0,1,56,23,5,0,3,3,4,0,1,172,16,28,2,0,14,7,1,1,0,0,9,1,0,5,19,0,0,5,0,33,24,6,1,6,0,5,8,17,1,0,2,65,2,19,0,0,3,2,3,10,1,0,19,2,0,3,6,5,5,15,4,1,2,8,1,1,3,0,0
chair,7,0,93,2,6,0,0,57,660,45,5,33,44,12,59,0,2,6,65,0,6,6,1321,3,237,6,47,339,8,0,4,2,6,6,3,3,144,20,1,0,10,14,40,6,36,4,0,26,2,272,0,13,17,2,0,5,5,27,4,5,6,12,1,0,128,19,14,15,1,3,13,0,2,1,20,41,37,36,4,2,0
clock,2,3,1,1,1,1,4,1,1,27,10,5,5,10,11,0,3,7,8,0,2,10,1,220,1,1,9,2,2,10,1,1,0,20,1,0,0,1,0,1,13,0,5,4,2,6,1,3,1,10,4,2,4,4,0,1,0,4,2,0,1,2,1,18,1,6,1,8,5,2,1,0,17,4,2,14,3,3,1,1,0
couch,1,0,13,1,0,0,1,120,151,2,0,9,8,0,10,0,0,0,16,0,3,1,258,0,219,0,3,34,8,0,4,1,0,0,0,0,29,3,0,0,1,0,13,0,6,0,0,5,0,91,0,2,2,1,0,0,0,17,0,0,0,0,0,0,61,0,12,0,0,0,4,0,0,1,5,11,6,3,0,0,0
cow,0,0,11,0,1,3,17,5,24,3,32,5,1,0,0,0,2,1,19,0,8,0,32,0,10,323,0,1,64,0,61,0,0,0,6,0,4,186,0,0,0,0,1,0,4,0,0,0,0,58,0,1,0,0,0,0,172,0,0,0,0,0,0,0,3,2,9,0,0,0,1,0,0,0,17,1,2,0,0,10,0
cup,0,2,4,3,0,1,0,0,0,1,2,0,40,254,254,0,0,65,5,0,6,19,82,19,4,0,684,28,2,5,1,5,1,0,0,4,15,0,1,1,1,3,17,2,2,7,2,7,3,24,2,55,7,20,5,5,1,18,2,0,0,16,2,0,6,0,3,2,0,5,39,6,4,0,1,2,2,330,218,0,0
dining table,4,2,0,2,0,0,0,27,136,3,0,24,38,2,102,0,0,40,8,1,0,1,142,0,34,2,4,542,1,2,0,0,1,5,2,0,7,1,2,1,3,2,7,2,2,0,0,80,0,47,20,3,5,0,11,0,1,27,1,0,0,3,1,0,12,8,0,0,0,0,3,0,0,2,4,3,11,6,3,1,0
dog,4,1,61,1,0,5,32,47,62,9,26,25,3,4,3,0,2,6,35,1,75,0,78,0,64,56,1,18,201,2,15,8,0,4,5,0,14,39,0,0,4,1,4,0,14,0,1,7,2,155,2,3,2,2,2,0,53,6,8,0,0,0,1,0,21,7,94,0,1,0,2,0,2,2,24,5,1,2,0,2,0
donut,0,15,0,14,0,3,1,2,1,0,3,0,0,5,40,0,1,97,1,9,6,2,6,2,0,2,11,13,5,245,3,0,1,3,0,1,0,2,52,0,0,0,0,0,0,4,20,6,0,9,9,1,1,6,59,0,0,0,0,0,0,2,9,2,1,0,15,0,1,0,2,0,0,0,1,0,2,5,0,0,0
elephant,1,0,5,0,0,2,10,5,8,0,8,4,1,1,1,0,2,1,8,0,2,0,16,0,8,51,1,0,13,0,243,1,0,0,2,0,5,22,0,0,4,0,1,0,4,0,0,0,1,87,0,2,1,0,0,0,47,0,1,0,1,0,0,1,5,3,16,0,0,1,1,0,0,1,7,2,3,1,0,0,0
