Ground_Truth,airplane,apple,backpack,banana,baseball bat,baseball glove,bear,bed,bench,bicycle,bird,boat,book,bottle,bowl,broccoli,bus,cake,car,carrot,cat,cell phone,chair,clock,couch,cow,cup,dining table,dog,donut,elephant,fire hydrant,fork,frisbee,giraffe,hair drier,handbag,horse,hot dog,keyboard,kite,knife,laptop,microwave,motorcycle,mouse,orange,oven,parking meter,person,pizza,potted plant,refrigerator,remote,sandwich,scissors,sheep,sink,skateboard,skis,snowboard,spoon,sports ball,stop sign,suitcase,surfboard,teddy bear,tennis racket,tie,toaster,toilet,toothbrush,traffic light,train,truck,tv,umbrella,vase,wine glass,zebra,other
skis,3,0,1,0,2,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,9,169,102,0,0,0,1,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
snowboard,2,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,1,0,0,0,0,11,0,0,0,0,0,1,0,0,8,57,48,0,0,0,2,9,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
spoon,1,1,0,1,1,0,0,0,0,0,1,0,4,6,26,0,0,6,0,2,0,2,3,0,0,0,11,1,0,2,0,0,117,0,0,1,0,0,0,0,0,100,1,0,0,1,0,1,0,2,0,0,0,1,3,9,0,0,0,0,0,139,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,2,2,0,0
sports ball,0,13,1,8,3,3,0,0,1,0,2,1,1,1,3,0,0,1,2,0,0,2,4,1,1,0,4,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,6,0,2,0,0,0,0,3,0,0,0,0,0,142,1,0,0,1,2,0,0,0,0,1,0,0,0,2,4,0,0,0
stop sign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,63,0,0,0,1,0,0,0,0,2,0,1,0,1,1,0,0,0
suitcase,1,0,97,0,1,1,0,12,22,3,0,6,9,3,3,0,3,2,23,0,1,8,64,0,13,0,1,10,3,0,0,1,0,0,0,0,126,0,0,1,2,1,7,2,9,1,0,5,3,17,0,0,8,1,0,0,0,2,7,1,7,0,0,0,239,4,1,0,3,3,4,1,2,1,10,6,6,0,0,0,0
surfboard,2,2,4,4,2,0,0,1,3,1,3,39,0,0,1,0,1,0,1,0,0,2,6,1,0,0,2,2,1,0,1,0,2,17,0,0,3,0,1,0,20,4,0,0,0,1,0,0,1,21,0,1,3,0,0,1,0,1,18,16,30,2,1,1,4,210,0,4,1,0,1,3,0,0,1,0,17,4,0,0,0
teddy bear,0,1,6,2,1,3,6,11,5,0,16,1,2,1,3,0,0,8,2,0,8,0,25,1,17,0,3,5,21,6,3,0,0,0,0,1,6,1,1,0,0,0,0,0,1,0,0,0,1,60,0,1,1,1,2,0,9,0,0,0,0,0,2,0,0,0,153,1,0,0,0,0,1,0,0,2,2,4,0,0,0
tennis racket,0,0,5,0,43,5,0,1,2,12,1,1,0,2,1,0,0,1,0,0,0,5,19,2,0,0,1,1,0,0,0,0,1,8,0,0,13,0,0,0,5,2,0,0,5,0,0,0,0,19,0,1,0,1,0,4,0,0,2,1,0,2,3,1,1,1,0,188,3,0,1,1,0,0,0,0,2,0,1,0,0
tie,0,0,4,0,0,1,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,1,0,0,20,0,0,1,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,162,0,0,2,0,0,0,0,0,0,1,0,0
