Ground_Truth,airplane,apple,backpack,banana,baseball bat,baseball glove,bear,bed,bench,bicycle,bird,boat,book,bottle,bowl,broccoli,bus,cake,car,carrot,cat,cell phone,chair,clock,couch,cow,cup,dining table,dog,donut,elephant,fire hydrant,fork,frisbee,giraffe,hair drier,handbag,horse,hot dog,keyboard,kite,knife,laptop,microwave,motorcycle,mouse,orange,oven,parking meter,person,pizza,potted plant,refrigerator,remote,sandwich,scissors,sheep,sink,skateboard,skis,snowboard,spoon,sports ball,stop sign,suitcase,surfboard,teddy bear,tennis racket,tie,toaster,toilet,toothbrush,traffic light,train,truck,tv,umbrella,vase,wine glass,zebra,other
bird,32,3,4,8,0,3,6,0,1,0,259,9,0,9,2,1,0,0,0,0,35,1,21,0,0,36,0,1,10,0,5,0,2,0,2,0,3,12,0,0,21,0,0,0,0,0,1,0,1,41,0,8,0,0,0,1,59,0,0,0,0,2,3,0,0,8,9,0,0,0,0,0,1,0,0,0,4,9,1,2,0
boat,47,1,0,2,0,0,0,6,16,4,5,335,5,0,12,0,29,4,53,0,0,2,21,1,1,1,0,6,1,0,0,1,0,0,0,0,0,1,1,1,6,1,2,0,2,1,0,1,1,7,0,0,0,0,0,0,1,3,1,0,1,0,1,0,8,16,0,0,0,1,4,0,1,30,56,3,7,3,0,0,0
book,0,1,2,0,1,1,0,11,11,0,0,1,656,50,15,0,0,9,5,0,1,27,41,6,6,0,22,33,1,0,0,0,0,2,0,0,16,0,0,27,0,17,75,5,2,0,0,5,1,14,0,3,8,19,1,2,0,5,1,1,0,2,0,2,23,2,1,1,6,0,1,5,1,1,1,19,1,8,0,0,0
bottle,0,1,3,11,2,2,0,1,1,1,12,5,47,757,41,0,3,9,6,1,0,29,23,9,2,0,328,10,2,0,0,21,10,6,1,10,17,0,1,0,1,41,1,2,3,8,0,1,6,82,0,13,9,18,1,3,0,1,8,0,1,26,4,0,7,0,2,2,5,1,1,28,4,1,1,0,3,336,170,0,0
bowl,1,29,5,11,0,2,0,5,3,1,6,24,33,39,534,24,1,102,6,22,1,15,43,17,4,1,319,91,1,39,0,0,11,17,0,3,11,0,13,3,2,13,12,2,0,16,23,34,0,24,45,60,0,15,70,1,1,98,3,0,0,44,11,0,5,4,1,0,1,2,28,0,1,0,2,0,5,78,29,0,0
broccoli,0,0,0,2,0,0,0,0,0,0,2,0,0,1,19,238,0,3,0,9,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,6,5,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
bus,8,0,3,1,0,0,12,0,16,1,0,153,3,7,0,0,253,10,99,0,0,16,3,5,4,0,0,8,5,0,12,0,0,0,4,0,0,0,0,4,6,0,2,12,2,1,0,27,0,30,6,0,23,0,0,0,0,0,4,0,0,0,0,0,22,10,0,0,0,4,0,0,1,112,198,28,16,0,0,3,0
cake,0,10,1,6,0,2,2,4,6,0,4,6,18,33,80,0,0,249,2,2,1,4,9,1,6,1,60,35,3,107,1,5,10,0,0,0,11,1,23,0,0,7,3,5,0,4,1,7,0,16,30,16,5,1,127,0,0,5,0,0,0,7,3,0,11,0,13,0,2,7,12,1,0,3,1,2,3,23,3,0,0
car,19,0,25,0,0,0,1,4,69,17,7,112,3,8,7,0,97,2,1511,0,2,17,60,4,6,11,0,15,6,0,14,1,0,0,3,0,15,1,0,0,5,0,10,1,71,3,0,13,3,251,0,2,2,1,0,0,6,9,6,0,2,1,1,1,53,3,0,0,0,0,2,0,1,11,960,14,33,0,2,5,0
carrot,0,18,0,13,3,0,0,0,1,0,0,1,0,2,19,16,0,6,0,244,0,0,1,1,1,0,1,11,0,7,0,0,6,0,0,0,2,0,28,1,0,7,0,0,0,0,72,1,0,11,4,1,0,1,4,1,0,0,0,0,0,11,0,0,0,0,2,0,1,0,0,6,0,0,0,0,2,0,0,0,0
