Ground_Truth,airplane,apple,backpack,banana,baseball bat,baseball glove,bear,bed,bench,bicycle,bird,boat,book,bottle,bowl,broccoli,bus,cake,car,carrot,cat,cell phone,chair,clock,couch,cow,cup,dining table,dog,donut,elephant,fire hydrant,fork,frisbee,giraffe,hair drier,handbag,horse,hot dog,keyboard,kite,knife,laptop,microwave,motorcycle,mouse,orange,oven,parking meter,person,pizza,potted plant,refrigerator,remote,sandwich,scissors,sheep,sink,skateboard,skis,snowboard,spoon,sports ball,stop sign,suitcase,surfboard,teddy bear,tennis racket,tie,toaster,toilet,toothbrush,traffic light,train,truck,tv,umbrella,vase,wine glass,zebra,other
couch,1,0,12,0,0,0,0,149,94,1,0,7,8,0,4,0,0,0,11,0,2,1,258,0,223,1,2,85,3,0,3,0,0,0,0,0,27,1,0,0,0,0,13,0,4,0,0,4,0,91,1,3,2,1,0,0,0,10,0,0,0,0,0,0,61,0,12,0,0,0,16,0,0,0,4,5,3,1,0,0,0
cow,0,0,8,0,1,2,40,3,14,1,55,3,1,0,0,0,2,0,16,0,10,0,18,0,10,325,0,1,153,0,70,0,0,0,19,0,3,267,0,0,0,0,1,0,1,0,0,0,0,43,0,1,0,0,0,0,290,0,0,0,0,0,0,0,2,2,9,0,0,0,1,0,0,0,14,0,1,0,0,12,0
cup,0,3,3,3,0,1,0,0,0,1,2,0,40,457,431,0,0,46,4,0,6,17,74,18,5,0,684,28,2,5,1,5,4,0,0,4,11,0,1,1,1,9,17,2,2,7,2,7,1,13,3,55,7,21,4,8,0,19,0,0,0,41,2,0,6,0,3,2,0,2,12,6,3,0,1,2,1,308,226,0,0
dining table,3,2,0,2,0,0,0,53,131,4,0,22,36,2,100,0,0,41,7,1,0,1,178,0,63,2,5,544,1,3,0,0,1,5,2,0,7,1,3,1,1,2,7,1,1,0,0,80,0,45,25,4,3,0,12,0,1,27,1,0,0,3,1,0,11,8,0,0,0,0,6,0,0,2,3,3,11,4,3,1,0
dog,1,1,49,2,0,1,95,18,11,5,66,19,2,2,1,0,2,2,21,1,143,0,23,0,67,113,1,23,199,1,30,5,0,1,16,0,9,76,0,0,1,1,2,0,7,0,1,6,0,148,1,4,2,2,1,0,59,5,4,0,0,0,0,0,16,7,93,0,1,0,0,0,2,3,12,4,1,2,0,11,0
donut,0,57,0,47,0,2,1,2,0,0,3,0,0,5,17,2,0,100,1,26,5,2,4,2,0,2,10,13,4,247,3,0,1,3,0,0,0,1,86,0,0,0,0,0,0,4,53,6,0,9,22,0,1,6,120,0,0,0,0,0,0,2,8,1,1,0,15,0,1,0,2,0,0,0,1,0,2,2,0,0,0
elephant,1,1,4,0,0,1,43,5,8,0,14,4,1,0,0,0,0,1,4,0,2,0,14,1,8,52,0,1,40,0,244,0,0,0,13,0,4,68,0,0,2,0,1,0,2,0,0,0,0,86,0,3,1,0,0,0,99,0,1,0,1,0,0,0,2,3,16,0,0,0,1,0,0,0,3,2,2,1,0,0,0
fire hydrant,0,0,0,1,1,1,19,0,24,2,1,1,0,5,0,0,0,7,15,1,1,0,2,1,0,0,20,3,31,0,1,92,0,0,2,0,0,1,1,0,1,0,0,0,1,0,0,0,22,69,0,45,1,0,0,0,1,0,5,0,0,0,0,0,1,0,36,0,0,0,29,0,16,2,4,0,0,32,0,0,0
fork,2,1,0,1,1,0,0,0,0,0,17,1,5,3,14,8,0,3,0,9,0,7,1,0,0,0,11,19,0,0,0,0,154,0,0,0,1,0,2,0,1,147,2,0,0,3,0,0,0,1,5,0,0,3,5,39,0,5,0,8,0,143,0,0,2,1,0,1,3,1,1,28,0,0,0,0,3,0,14,0,0
frisbee,1,7,6,6,21,10,0,0,1,3,5,2,2,2,60,0,0,5,2,6,0,1,5,22,0,0,36,2,10,10,0,0,1,104,0,1,8,0,1,0,26,2,1,0,0,3,1,0,0,17,3,5,0,17,0,2,7,6,2,0,0,8,17,2,0,51,0,64,0,0,3,2,5,0,0,0,15,1,1,0,0
giraffe,0,0,0,37,1,0,0,0,5,1,5,0,0,2,0,0,0,1,0,6,40,0,43,9,2,73,0,0,69,1,40,2,0,0,222,0,0,6,3,0,37,0,0,0,0,0,1,1,0,4,21,6,3,0,0,0,60,1,0,1,0,0,0,1,0,2,5,1,0,0,0,0,0,0,0,0,1,22,0,133,0
hair drier,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
handbag,0,0,263,0,3,27,0,2,8,7,2,3,10,9,4,0,0,2,7,0,4,8,57,0,12,2,5,5,9,0,0,1,1,1,0,0,325,2,0,0,10,3,4,0,15,1,0,0,0,73,0,2,1,2,0,2,0,1,18,2,4,1,0,0,132,13,2,20,11,0,2,0,2,0,2,1,7,3,0,0,0
horse,0,0,7,0,0,3,7,0,17,5,29,3,0,1,0,0,0,1,4,0,11,0,17,0,4,211,0,2,97,1,73,0,0,0,6,0,4,248,0,0,10,1,0,0,15,0,0,1,0,69,0,1,0,0,1,0,123,0,0,1,0,0,0,0,4,9,2,0,0,0,0,0,0,2,5,0,1,2,0,106,0
hot dog,0,4,0,6,0,0,0,3,0,0,0,2,3,1,33,1,0,49,0,43,1,0,5,0,0,0,3,18,0,49,0,0,4,1,0,0,3,0,89,0,0,11,0,0,0,0,6,6,0,15,20,0,0,1,77,0,0,0,0,0,0,3,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keyboard,0,0,1,0,0,0,0,12,6,0,0,3,47,0,0,0,0,4,4,0,1,37,9,0,3,0,0,9,0,0,0,0,0,0,1,0,4,0,0,134,0,0,78,2,0,11,0,7,0,1,0,0,0,64,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,1,0,0,1,2,3,0,0,0,0,0
kite,28,1,7,0,0,1,0,1,1,1,63,17,8,0,1,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0,4,0,0,11,1,0,14,1,0,0,253,1,2,0,1,0,0,0,0,42,0,0,0,0,0,1,1,0,1,12,17,0,6,5,3,21,1,6,4,0,0,0,21,0,0,1,63,0,0,2,0
knife,2,0,0,3,6,0,0,0,0,0,4,0,8,12,12,1,0,8,0,5,1,22,6,0,0,0,8,16,0,1,0,0,126,1,0,0,3,0,2,0,0,162,3,0,0,6,1,0,1,1,13,0,0,16,6,63,0,4,1,11,1,128,0,0,0,0,1,4,4,0,0,15,0,0,0,0,1,0,2,0,0
laptop,2,0,5,0,0,0,0,73,62,0,1,0,149,1,8,0,1,9,8,0,39,145,161,11,77,0,4,104,11,0,0,0,0,0,0,0,24,0,0,101,0,1,199,57,1,3,0,10,3,51,2,0,50,32,0,0,0,10,2,0,0,0,0,0,91,0,1,0,2,9,55,0,3,0,21,150,2,0,6,0,0
microwave,0,0,0,0,0,0,0,1,1,0,0,0,5,0,2,0,3,0,2,0,0,12,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,47,0,0,0,45,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,31,0,0,5,5,6,38,0,0,0,0,0
motorcycle,12,0,21,1,0,2,0,2,30,236,2,14,0,1,1,0,4,2,123,0,0,0,36,1,6,1,0,6,2,0,3,2,0,1,0,0,17,12,0,0,2,0,0,0,320,0,0,0,0,106,0,3,0,0,0,1,0,2,9,1,0,0,1,0,11,0,4,1,0,0,2,0,1,3,54,0,6,0,0,0,0
mouse,0,4,2,0,0,0,0,0,0,0,0,0,0,2,33,0,0,1,10,0,0,45,15,3,0,0,19,2,0,0,0,0,0,1,0,14,3,0,0,15,0,4,0,0,0,88,0,0,0,2,0,0,0,66,0,0,0,6,0,0,2,33,14,0,1,2,0,0,0,2,5,1,0,1,0,2,1,14,0,0,0
orange,0,101,0,24,0,0,1,0,0,0,0,1,0,2,38,1,0,17,0,67,0,0,0,0,0,0,12,8,0,25,0,0,0,1,0,0,0,0,11,0,0,1,0,0,0,1,208,0,0,7,1,1,0,0,6,0,0,0,0,0,0,1,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,2,0,0
oven,1,0,1,0,0,0,0,2,8,0,0,1,5,0,6,0,2,0,3,0,0,4,28,3,2,0,1,29,2,0,0,0,0,0,0,1,1,0,0,0,0,0,6,61,1,0,0,113,1,7,4,2,62,0,0,0,0,13,0,0,0,1,0,0,12,0,0,0,0,4,5,0,1,1,5,20,0,0,1,0,0
parking meter,1,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,4,0,0,6,4,6,0,0,3,2,0,0,0,13,0,2,0,1,1,0,0,0,2,0,1,2,7,1,0,3,49,2,0,0,2,4,0,0,0,0,1,0,1,0,1,19,5,2,0,1,0,0,0,0,11,7,1,3,0,4,1,0,0
person,7,5,201,9,75,31,1,429,619,82,94,49,17,50,10,2,4,14,102,4,156,9,2166,6,820,159,6,219,684,4,330,99,2,11,4,1,150,131,8,1,496,8,34,24,538,2,0,183,7,9500,8,99,531,9,9,7,114,11,71,536,158,6,10,6,175,421,577,101,8,0,7,5,11,107,18,73,57,19,4,242,0
pizza,0,5,0,8,0,1,1,17,1,0,1,0,23,0,119,15,0,188,1,10,0,1,2,2,0,0,7,93,0,71,0,0,8,4,1,0,1,0,29,0,0,16,0,0,0,0,13,41,0,30,234,2,1,0,204,1,0,0,0,0,0,9,0,3,0,1,1,0,1,0,1,1,0,0,1,0,4,2,3,0,0
potted plant,2,2,2,3,0,0,0,0,11,2,1,6,1,8,18,14,0,15,5,0,4,0,37,2,12,0,11,18,0,5,1,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,1,0,17,2,275,3,0,1,0,0,3,0,0,0,0,0,0,5,0,2,0,0,0,9,1,1,1,1,2,3,58,5,0,0
refrigerator,2,0,0,0,0,0,0,7,2,0,0,0,13,4,0,0,3,0,2,0,0,4,17,0,0,0,7,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,9,16,0,0,0,97,18,7,0,1,113,0,0,1,0,2,0,0,1,0,0,7,34,5,0,0,1,6,35,0,1,3,15,32,2,10,0,0,0
remote,0,0,1,2,0,2,0,4,1,1,1,1,51,24,12,0,1,6,4,0,0,117,8,3,5,0,21,1,1,4,0,0,5,6,0,15,3,0,5,39,0,25,24,0,0,31,0,1,0,9,3,1,0,188,5,2,0,4,0,0,2,19,3,0,4,0,1,3,4,0,2,27,0,1,2,7,0,1,3,0,0
sandwich,0,11,0,14,0,0,0,1,0,0,4,1,1,6,70,4,0,119,0,10,0,0,3,1,0,0,10,27,2,58,0,0,6,0,0,0,2,0,102,1,0,6,1,0,0,1,3,3,0,10,74,1,0,1,137,0,0,1,0,0,0,4,0,0,0,1,2,0,1,0,1,1,0,0,0,0,1,1,0,0,0
scissors,5,1,0,2,1,1,0,3,4,5,1,0,6,2,3,0,0,4,1,1,1,3,6,6,0,0,5,7,1,2,2,1,9,2,1,3,6,3,0,0,0,11,2,1,5,0,1,3,1,8,0,3,2,2,0,22,0,0,1,2,1,7,0,3,1,0,2,5,3,0,7,3,0,1,0,1,5,4,1,0,0
sheep,2,0,2,2,0,0,65,2,2,0,71,3,0,0,0,0,0,1,4,0,26,0,6,0,6,228,0,2,48,1,59,0,0,1,20,0,0,116,2,0,1,0,0,0,1,0,1,0,0,36,1,2,0,0,2,0,317,0,0,0,0,0,5,1,1,1,39,0,0,0,0,0,0,0,4,0,1,0,0,35,0
sink,0,0,0,0,0,0,0,8,8,0,0,3,11,1,75,0,0,3,4,0,0,2,21,1,4,0,10,27,0,0,0,0,0,3,0,0,2,0,0,1,0,1,4,5,0,2,0,37,0,1,0,0,3,1,0,0,0,179,0,0,0,0,0,0,3,0,0,0,0,1,73,0,1,0,2,2,0,1,0,0,0
skateboard,34,0,8,1,12,3,0,1,6,20,3,5,2,5,1,0,0,2,10,0,1,10,4,1,0,0,1,3,1,0,1,5,0,4,0,0,13,0,1,0,2,3,0,0,33,0,0,0,0,48,0,1,0,6,0,3,0,1,150,45,71,1,1,0,30,46,2,24,2,0,2,1,3,0,14,0,1,1,1,1,0
skis,14,0,3,0,5,0,0,0,6,6,0,7,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,16,3,1,0,2,0,0,0,0,15,0,0,0,0,0,1,0,0,28,169,107,1,0,0,1,22,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0
snowboard,4,0,3,0,3,0,0,0,2,0,1,5,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,6,4,0,0,1,0,0,0,0,13,0,0,0,1,0,0,0,0,28,57,49,1,0,0,3,31,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0
spoon,1,2,1,3,2,0,0,0,0,0,2,0,5,8,29,0,0,6,0,5,0,5,4,0,0,0,18,6,0,2,0,0,118,2,0,1,2,0,1,0,0,100,1,0,1,4,2,1,0,3,1,0,0,1,3,24,0,0,0,2,1,140,0,0,1,0,0,4,1,0,0,24,0,0,0,0,0,3,8,0,0
sports ball,1,80,3,12,15,24,0,0,1,0,8,2,1,1,12,0,0,2,3,0,0,2,4,2,1,0,11,1,0,5,0,0,0,8,0,1,2,0,0,0,15,0,0,0,0,4,3,0,0,26,0,2,0,2,0,0,32,1,0,0,0,0,142,1,0,2,2,16,0,0,1,0,7,0,0,0,12,16,0,0,0
stop sign,18,29,0,1,11,0,23,1,0,9,0,6,0,0,0,0,26,20,25,1,0,0,0,37,2,0,7,19,10,32,0,0,0,2,9,1,0,7,9,0,27,1,23,19,0,5,0,12,42,30,19,10,25,0,0,15,11,7,14,0,1,0,0,63,0,26,17,23,29,0,17,0,40,0,28,18,33,18,0,0,0
suitcase,1,1,141,0,1,8,0,22,45,4,0,9,9,3,4,0,8,7,37,0,1,9,118,1,32,0,3,17,4,0,0,1,0,0,0,0,176,0,0,1,6,1,19,5,17,5,0,17,8,26,0,0,16,1,0,0,0,2,16,2,8,0,0,0,239,11,3,0,3,8,8,1,5,2,19,19,12,4,0,0,0
surfboard,13,3,7,4,2,0,0,2,9,3,6,117,6,2,4,0,1,0,6,1,0,2,18,10,1,0,3,8,2,0,2,2,2,52,0,0,9,0,1,0,78,25,1,0,2,5,0,0,3,55,0,1,4,1,1,1,0,1,71,54,101,3,3,13,6,208,1,17,8,0,2,4,1,1,2,0,49,7,0,0,0
teddy bear,0,2,29,3,2,3,51,31,26,1,34,1,6,5,4,2,0,25,2,0,34,0,66,3,49,6,3,12,84,7,26,8,0,1,1,1,8,7,3,0,10,0,0,1,2,0,1,0,2,112,2,1,2,1,5,0,36,2,0,0,0,0,2,0,9,1,153,1,1,0,7,0,1,2,2,2,2,7,0,0,0
tennis racket,0,0,17,0,110,23,0,1,34,66,2,2,3,11,2,0,0,1,1,0,4,7,82,16,1,0,1,1,2,0,0,0,8,42,1,3,47,0,0,1,56,7,0,0,7,0,0,0,0,72,0,1,0,4,0,55,0,0,28,7,0,13,19,9,4,13,0,188,19,0,8,19,1,0,0,0,8,1,30,5,0
tie,0,0,4,4,4,1,0,1,0,0,0,0,6,16,0,0,0,0,0,5,2,5,11,1,3,0,2,4,1,2,0,0,7,1,0,0,20,0,2,1,5,18,0,0,0,0,0,0,0,2,1,0,1,3,0,6,0,0,1,4,6,5,1,2,0,4,0,7,162,0,0,12,0,0,0,0,0,12,1,0,0
toaster,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,2,3,2,1,0,2,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,4,1,1,0,3,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,8,2,0,0,0,0,0,0,1,0,0,0
toilet,0,0,3,1,0,0,0,6,11,1,0,5,3,3,24,0,0,2,1,0,11,8,65,1,10,1,11,16,1,1,1,6,0,1,0,1,3,1,1,0,1,3,8,3,7,7,0,18,1,3,0,13,14,5,0,1,0,90,0,0,2,2,1,1,13,1,5,0,0,1,161,1,2,0,2,4,1,14,1,0,0
toothbrush,0,0,0,1,2,0,0,0,0,0,0,0,1,13,1,0,0,0,0,1,0,5,3,0,0,0,7,0,0,1,0,0,18,0,0,4,1,0,1,0,0,17,1,0,0,1,1,0,0,3,0,0,0,7,1,3,0,1,0,0,0,22,1,0,0,0,0,3,4,0,0,29,0,0,0,0,4,2,1,0,0
traffic light,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,2,0,3,0,0,6,2,11,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,10,0,1,1,0,0,0,4,7,12,0,0,3,2,0,0,0,0,0,0,1,0,1,28,1,0,2,0,0,0,0,0,398,5,3,7,0,0,0,0,0
train,63,0,0,1,0,0,0,12,16,1,0,80,2,0,0,0,145,1,19,0,0,0,2,1,4,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,5,9,2,1,0,16,0,4,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,179,87,10,4,1,0,0,0
truck,11,0,2,0,0,0,1,5,35,2,0,33,0,0,0,0,160,0,342,0,0,2,24,1,3,5,1,2,4,0,6,4,0,0,1,0,0,1,0,1,2,0,1,8,84,0,0,17,1,10,0,1,15,0,0,0,4,0,3,0,0,0,0,3,16,2,0,0,0,0,0,0,2,112,354,6,1,1,0,5,0
tv,0,0,1,0,0,0,0,11,8,0,0,0,75,1,4,0,2,0,7,0,4,94,68,43,6,0,3,12,0,0,0,0,0,0,0,0,4,0,0,0,0,1,202,112,0,0,0,63,0,48,0,3,54,0,0,0,0,2,0,0,0,0,0,2,21,0,0,0,0,10,3,0,24,3,9,251,3,1,0,0,0
umbrella,2,0,5,0,2,1,0,17,13,2,1,11,14,0,0,0,0,1,10,0,0,0,29,1,6,0,0,27,1,1,0,0,1,6,0,1,19,0,0,0,81,4,0,0,0,0,0,0,0,19,0,3,2,0,0,5,1,1,4,4,2,0,4,17,15,22,0,1,2,0,0,5,0,4,2,3,323,0,0,0,0
vase,1,14,3,6,0,2,0,2,1,1,15,3,10,134,36,1,1,12,1,2,4,1,20,13,7,0,129,13,0,4,0,9,0,1,0,0,19,2,2,0,1,2,1,1,2,2,3,1,2,18,0,90,8,0,5,2,0,7,0,0,2,4,4,1,5,1,7,1,4,2,9,1,1,1,1,3,3,214,49,0,0
